path,encoding,utf8_valid,bom,mojibake,replacement_character,newline_style,status,detail
builder/tests/test_operation_collector.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_operation_health.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_operation_serializers.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_package_metadata.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_compatibility.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_dependencies.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_doctor.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_integrity.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_integrity_doctor.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_integrity_history.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_state.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_template_cli.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_update.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_update_history.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_plugin_update_rollback.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_quality_rules.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_release_configuration.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_repair.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_report_cli.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_report_html.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_report_html_markdown.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_report_models.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_report_profiles.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_report_serializers.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_repository_cli.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_repository_history.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_repository_service.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_repository_store.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_repository_validator.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_semver_release.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_status_cli.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_strict_quality.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_sync_client.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_sync_service.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
builder/tests/test_template_advanced_validator.py,UTF-8,True,False,False,False,LF,COMPLIANT,ok
